date	AAPL	SPY	TSLA	LMT	JPM	XOM
2024-10-31	-0.030429213460738125	-0.008923538766048789	-0.045025412068364745	-0.06587855304982904	0.05890120546249111	-0.0037538691499544585
2024-11-29	0.051707025036412446	0.059633309413379854	0.3814688622385136	-0.03047340368343021	0.12527054701020024	0.018404652429548696
2024-12-31	0.05515536312010205	-0.0240599661651395	0.17000808915631316	-0.07635283476672317	-0.040084860138915435	-0.08808075786797731
2025-01-31	-0.05758328921495648	0.02685623711431928	0.0018819576379678349	-0.04731041212157583	0.12085640185172242	-0.006879049646057012
2025-02-28	0.025872309886021405	-0.012694839644185052	-0.2758773935575025	-0.02717365695266094	-0.009914009104918575	0.05144450409045054
2025-03-31	-0.08150010258795903	-0.0557192122565362	-0.11543452131892018	-0.0008051749947035614	-0.07311537811725399	0.06826540078069199
2025-04-30	-0.043352951328328726	-0.008670167189502642	0.08874826236685496	0.06948579668873722	0.003370234530098548	-0.11183052892842282
2025-05-30	-0.053584043540525816	0.06284494004594876	0.2278848417863253	0.009691277976097368	0.0792249329753405	-0.022605171825786807
2025-06-30	0.02150852755371435	0.05138623540299814	-0.08312644606383923	-0.03327212882107211	0.09814392497808555	0.05376345002146654
2025-07-31	0.011697625680163082	0.02303144881615604	-0.02955995259140498	-0.09103078371896522	0.026757317647383427	0.03562142846905014
2025-08-29	0.11963891239084878	0.02051958368009088	0.08304410748975077	0.08230798790394744	0.017485718857155774	0.03326322495421086
2025-09-30	0.09688125410893011	0.03562033851605517	0.33201547825406585	0.10364107097944264	0.04647999633494182	-0.013474393953131658
2025-10-31	0.0618151696714353	0.023837580535737146	0.026623485126352042	-0.014683174386173392	-0.008868578599891541	0.01427937220392872
2025-11-28	0.03236421756367336	0.001949914509092654	-0.05780178787448975	-0.06916321451411211	0.0062999146143554174	0.0225070051220555
2025-12-31	-0.025067289046220242	0.0007975029584423865	0.045447119005781245	0.06439118160594615	0.02919379700273872	0.03812968351524826
2026-01-30	-0.04553807543927202	0.014737818820090842	-0.04293782243658151	0.31126599017086476	-0.04639747628251545	0.17500413567711215
2026-02-27	0.01906584775625131	-0.008642046247570145	-0.06482189925675397	0.03762094697267715	-0.018274626056834276	0.08568934855096799
2026-03-31	-0.03932929687093145	-0.04937956664344334	-0.07642048401115797	-0.0767455978392092	-0.020446181140362008	0.11252462106599048
2026-04-30	0.0691911154734397	0.10505268686597247	0.026577013807162153	-0.14298723818060466	0.07027816638364426	-0.0903571158098091
2026-05-29	0.15108715221843605	0.05262575303750272	0.14191757191298504	0.02409409938377416	-0.04444019264251231	-0.0523816708634921
2026-06-30	-0.07274245453871875	-0.010292566443839024	-0.034856243015127464	-0.03328264165411032	0.09361524528603349	-0.058791158949492495
2026-07-31	0.06756296301144094	0.00034817917005858234	-0.26008086795299534	0.14383856565379438	0.07956745208724691	0.13692228319054656
2026-08-31	0.026587852979950588	0.0267994025821654	0.18232069120487537	-0.03691188913892318	0.01202416318259325	0.04215235888311275
