date	AAPL	SPY	TSLA	LMT	JPM	XOM
2024-09-30	231.0670623779297	562.21044921875	261.6300048828125	554.2453002929688	202.3577117919922	109.94312286376953
2024-10-31	224.03587341308594	557.1935424804688	249.85000610351562	517.732421875	214.27682495117188	109.53041076660156
2024-11-29	235.62010192871094	590.4208374023438	345.1600036621094	501.9553527832031	241.11940002441406	111.54627990722656
2024-12-31	248.61581420898438	576.21533203125	403.8399963378906	463.629638671875	231.45416259765625	101.72119903564453
2025-01-31	234.29969787597656	591.6903076171875	404.6000061035156	441.69512939453125	259.4268798828125	101.02145385742188
2025-02-28	240.361572265625	584.1788940429688	292.9800109863281	429.6926574707031	256.85491943359375	106.21845245361328
2025-03-31	220.77207946777344	551.62890625	259.1600036621094	429.3466796875	238.0748748779297	113.46949768066406
2025-04-30	211.20095825195312	546.84619140625	282.1600036621094	459.18017578125	238.8772430419922	100.78014373779297
2025-05-30	199.8839569091797	581.2127075195312	346.4599914550781	463.6302185058594	257.8022766113281	98.50199127197266
2025-06-30	204.18316650390625	611.0790405273438	317.6600036621094	448.2042541503906	283.10400390625	103.79779815673828
2025-07-31	206.57162475585938	625.153076171875	308.2699890136719	407.40386962890625	290.6791076660156	107.49522399902344
2025-08-29	231.28562927246094	637.98095703125	333.8699951171875	440.93646240234375	295.7618408203125	111.07086181640625
2025-09-30	253.69287109375	660.7060546875	444.7200012207031	486.6355895996094	309.50885009765625	109.57424926757812
2025-10-31	269.37493896484375	676.4556884765625	456.55999755859375	479.490234375	306.7639465332031	111.13890075683594
2025-11-28	278.0930480957031	677.7747192382812	430.1700134277344	446.3271484375	308.696533203125	113.64030456542969
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	475.0666809082031	317.70855712890625	117.97337341308594
2026-01-30	258.775634765625	688.3121337890625	430.4100036621094	622.9387817382812	302.9676818847656	138.61920166015625
2026-02-27	263.70941162109375	682.3637084960938	402.510009765625	646.3743286132812	297.4310607910156	150.4973907470703
2026-03-31	253.33790588378906	648.6688842773438	371.75	596.7679443359375	291.3497314453125	167.4320526123047
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	511.437744140625	311.82525634765625	152.30337524414062
2026-05-29	311.7911071777344	754.5361328125	435.7900085449219	523.7603759765625	297.9676818847656	144.32546997070312
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	506.3282470703125	325.86199951171875	135.8404083251953
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	579.1577758789062	351.7900085449219	154.4399871826172
2026-08-31	316.8500061035156	767.0499877929688	367.95001220703125	557.7799682617188	356.0199890136719	160.9499969482422
