index	return	risk	AAPL	SPY	TSLA	LMT	JPM	XOM
0	0.01852823122425687	0.027999823068256973	0.1986940546010222	0.252293989902387	0.0109087168148684	0.0463325896426348	0.2650800037864845	0.2266906452526028
1	0.01861338136846639	0.02800558740765855	0.19797258548161825	0.25165240771431513	0.013167681203894162	0.04308756406942161	0.26698387133552026	0.22713589019523076
2	0.018698531512675913	0.0280197125492463	0.19724437595341984	0.25098492954562956	0.015372846149488677	0.03983889493204634	0.2689186110054331	0.22764034241398243
3	0.018783681656885435	0.02804178121885733	0.19650961165803968	0.2502917920902342	0.017526354475578283	0.036587027473627215	0.2708830307830851	0.2282021835194355
4	0.018868831801094957	0.02807140134150144	0.19576847490532512	0.24957322799843515	0.019630268442195464	0.033332387703347205	0.2728759834205999	0.22881965753009723
5	0.018953981945304482	0.028108204699879732	0.1950211447157551	0.24882946583251997	0.02168657271551888	0.030075383342949746	0.27489636485387625	0.22949106853938006
6	0.019039132089514004	0.028151845623654054	0.19426779671882996	0.2480607302522846	0.023697177295517787	0.026816404411764208	0.2769431126652451	0.23021477865635842
7	0.019124282233723526	0.028201999717302653	0.19350860356719968	0.2472672420752802	0.025663920298854784	0.02355582387808073	0.27901520432237187	0.23098920585821278
8	0.019209432377933048	0.028258362626451317	0.19274373470363726	0.24644921831963865	0.02758857064266632	0.02029399850728428	0.281111655877495	0.23181282194927852
9	0.01929458252214257	0.02832064885008825	0.1919733565907667	0.2456068723732782	0.02947283042437468	0.017031269144028725	0.28323152072737445	0.2326841507401773
10	0.019379732666352092	0.028388590592365405	0.19119763267739337	0.24474041420389953	0.03131833748249187	0.013767961646620919	0.28537388777916306	0.23360176621043133
11	0.019464882810561614	0.02846193667573074	0.1904167235523613	0.24385005015470637	0.033126667890750514	0.010504387373378079	0.2875378805291921	0.23456429049961167
12	0.019550032954771136	0.02854045149025829	0.18963078698714073	0.2429359833158573	0.03489933803398943	0.007240843581050116	0.2897226556377714	0.2355703924441911
13	0.019635183098980658	0.028330312654369402	0.1783066901778348	0.23805305665458415	0.020613237966545277	0.001997892573724677	0.29779377639338034	0.26323534623393074
14	0.019720333243190183	0.02838307853781511	0.1767789441879382	0.23615266038933388	0.023654249113095677	8.673617379884035e-19	0.30015677407279573	0.2632573722368365
15	0.019805483387399705	0.028443574628358743	0.17374820483282824	0.23239119286230897	0.02772412226307215	7.860465750519907e-19	0.3035056708957548	0.26263080914603576
16	0.019890633531609227	0.028519049515403405	0.17071405388255603	0.22858676514431364	0.03170502423062109	0.0	0.30692151891362	0.2620726378288893
17	0.01997578367581875	0.02860845250019778	0.16767724719997026	0.2247403066867153	0.03559989649616872	0.0	0.3104020783331139	0.2615804712840319
18	0.02006093382002827	0.02871079435403453	0.16463851262947476	0.2208527174678277	0.03941158118405386	0.0	0.31394518502491	0.26115200369373376
19	0.020146083964237792	0.028825146048955738	0.1615985506236395	0.21692486906853745	0.04314282476311351	7.860465750519907e-19	0.3175487480653182	0.26078500747939143
20	0.020231234108447314	0.0289506371089464	0.15855803603957194	0.21295760553305232	0.04679628072079803	0.0	0.3212107468793635	0.26047733082721425
21	0.020316384252656836	0.029086453701464586	0.15551761782555093	0.20895174417297027	0.050374513392982115	7.724940478959219e-19	0.32492922937715246	0.26022689523134424
22	0.020401534396866358	0.029231836463537192	0.1524779212134349	0.20490807671500968	0.053880000280153294	0.0	0.3287023090935982	0.26003169269780396
23	0.020486684541075884	0.02907335938344475	0.14507357458783152	0.18941475042087008	0.038855225818318864	0.0	0.3429963240477737	0.28366012512520583
24	0.020571834685285405	0.029182094746308476	0.14223822183202356	0.18553727882612228	0.04290857736801066	0.0	0.3463777125875831	0.28293820938626035
25	0.020656984829494927	0.02930505041391454	0.13939845934362977	0.1816169783059001	0.046872389963551295	5.692061405548898e-19	0.34982629039524665	0.28228588199167215
26	0.02074213497370445	0.029441126030505593	0.13655505436374887	0.177654785836778	0.05074963087728869	1.5449880957918438e-18	0.35333979943733546	0.2817007294848489
27	0.02082728511791397	0.029589292009856792	0.1337087453634678	0.1736516086491249	0.0545431673015027	0.0	0.35691605831653656	0.2811804203693681
28	0.020912435262123493	0.029748587401600714	0.13086024355688564	0.16960832527829411	0.05825576971079776	8.131516293641283e-20	0.3605529593009741	0.28072270215304845
29	0.020997585406333015	0.02991811740043715	0.1280102340408941	0.16552578630210613	0.061890114835538836	0.0	0.3642484658342273	0.2803253989872337
30	0.021082735550542537	0.030097050616588707	0.12515937599920085	0.1614048156469756	0.06544878951734147	0.0	0.36800061011082247	0.27998640872565966
31	0.02116788569475206	0.030284616110053387	0.12230830448169175	0.15724621120583984	0.0689342928445555	0.0	0.3718074910221615	0.2797037004457515
32	0.021253035838961584	0.03015668780668423	0.12165404582660552	0.13671695994865762	0.051960183022852546	0.0	0.38804160350588146	0.3016272076960028
33	0.021338185983171106	0.0303012765285799	0.11898501862572786	0.13274704825449823	0.05602287535453889	0.0	0.39142924286128494	0.30081581490395004
34	0.021423336127380628	0.030459410694809237	0.1163105664065016	0.12873423080667815	0.0599948436222805	0.0	0.39488483775545014	0.3000755214090897
35	0.02150848627159015	0.030629964669575467	0.11363147231812168	0.12467945773697384	0.06387910019535993	0.0	0.39840609701007407	0.2994038727394706
36	0.021593636415799672	0.030811890262713557	0.11094849026989177	0.12058364858726171	0.06767855602671055	2.303929616531697e-19	0.4019908070119897	0.2987984981041464
37	0.021678786560009194	0.031004213774205876	0.10826234673572975	0.11644769415343299	0.07139602339039573	0.0	0.4056368291818734	0.2982571065385683
38	0.021763936704218716	0.031206032773396314	0.10557374103413705	0.11227245656191052	0.07503422009502411	0.0	0.40934209703407193	0.29777748527485653
39	0.021849086848428238	0.031416512635613514	0.10288334665257391	0.10805877076986367	0.07859577201461133	4.0657581468206416e-20	0.4131046143115366	0.2973574962514146
40	0.02193423699263776	0.03163488293484193	0.10019181237129673	0.1038074456079511	0.08208321606817821	0.0	0.41692245203668804	0.29699507391588603
41	0.022019387136847285	0.031490870175903525	0.10650733128549306	0.07713428545514464	0.06232792628398356	2.710505431213761e-19	0.43536507629446886	0.3186653806809099
42	0.022104537281056807	0.03165691272402838	0.10398405893486919	0.07310838583138411	0.06645439616363641	0.0	0.4387141179984125	0.3177390410716978
43	0.02218968742526633	0.03183640593868281	0.10145402765816733	0.0690389634918196	0.07048731400664669	0.0	0.4421331666739473	0.3168865281694191
44	0.02227483756947585	0.03202818202588433	0.09891805089117961	0.06492699723795434	0.07442979221765098	1.8973538018496328e-19	0.4456198562184887	0.31610530343472637
45	0.022359987713685373	0.03223115620897584	0.09637691272986604	0.06077343519957379	0.07828483737991701	2.710505431213761e-19	0.44917190069201773	0.31539291399862546
46	0.022445137857894894	0.032444323314558585	0.09383136802694637	0.05657919460577789	0.08205535536086239	0.0	0.4527870916911769	0.31474699031523645
