	AAPL	SPY	TSLA	LMT	JPM	XOM
AAPL	0.004014144761273874	0.001053068817311556	0.0028287579654873497	4.601646141571156e-05	-0.00023360621073668784	-0.0006295091149211433
SPY	0.001053068817311556	0.0013796390569598164	0.0028176113784102925	-0.0003114501560577895	0.0010947604647754594	-0.0008223542656345519
TSLA	0.0028287579654873497	0.0028176113784102925	0.026124211134687002	-0.0003881025612932676	0.0017675633307871412	-0.005483704368122803
LMT	4.601646141571156e-05	-0.0003114501560577895	-0.0003881025612932676	0.009226965872327299	-0.001196874995553186	0.0033268193830436146
JPM	-0.00023360621073668784	0.0010947604647754594	0.0017675633307871412	-0.001196874995553186	0.0031812386845089884	-0.0007849917118068157
XOM	-0.0006295091149211433	-0.0008223542656345519	-0.005483704368122803	0.0033268193830436146	-0.0007849917118068157	0.005145614786789244
